id,年度,年級,課次,生字,生字注音,部首,部首注音,總筆畫,部首外筆畫,字義教學,造詞,例句,延伸詞語解釋,成語教學,字形辨別,字音辨別,教學圖卡
467,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
366.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
468,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
367.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
469,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
368.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
470,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
369.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
471,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
370.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
472,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
371.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
473,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
372.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
474,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
373.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
475,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
374.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
476,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
375.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
477,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
376.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
478,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
377.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
479,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
378.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
480,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
379.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
481,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
380.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
482,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
381.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
483,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
382.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
484,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
383.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
485,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
384.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
486,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
385.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
487,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
386.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
488,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
387.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
489,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
388.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
490,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
389.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
491,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
390.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
492,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
391.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
493,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
392.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
494,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
393.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
495,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
394.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
496,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
395.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
497,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
396.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
498,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
397.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
499,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
398.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
500,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
399.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
501,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
400.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
502,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
401.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
503,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
402.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
504,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
403.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
505,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
404.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
506,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
405.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
507,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
406.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
508,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
407.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
509,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
408.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
510,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
409.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
511,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
410.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
512,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
411.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
513,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
412.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
514,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
413.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
515,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
414.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
516,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
415.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
517,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
416.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
518,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
417.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
519,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
418.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
520,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
419.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
521,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
420.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
522,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
421.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
523,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
422.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
524,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
423.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
525,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
424.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
526,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
425.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
527,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
426.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
528,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
427.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
529,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
428.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
530,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
429.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
531,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
430.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
532,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
431.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
533,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
432.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
534,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
433.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
